Year,Storm Name,Start Date,End Date,Dates,Max Wind Speed (mph),Min pressure (mb),Storm Type
2006,ERNESTO,8/24/06,9/4/06,8/24 - 9/4,65,985,Hurricane
2006,FLORENCE,9/3/06,9/19/06,9/3 - 9/19,80,963,Hurricane
2006,GORDON,9/10/06,9/24/06,9/10 - 9/24,105,955,Hurricane
2006,HELENE,9/12/06,9/24/06,9/12 - 9/27,105,955,Hurricane
2006,ISAAC,9/27/06,10/3/06,9/27 - 10/3,75,985,Hurricane
2007,ANDREA,5/6/07,5/14/07,5/6 - 5/14,65,998,Extratropical
2007,BARRY,5/31/07,6/5/07,5/31 - 6/5,50,990,Tropical Storm
2007,CHANTAL,7/31/07,8/5/07,7/31 - 8/5,60,964,Tropical Storm
2007,ERIN,8/15/07,8/19/07,8/15 - 8/19,50,995,Tropical Storm
2007,DEAN,8/13/07,8/23/07,8/13 - 8/23,150,905,Hurricane
2007,FELIX,8/31/07,9/6/07,8/31 - 9/6,150,929,Hurricane
2007,GABRIELLE,9/8/07,9/11/07,9/8 - 9/11,50,1004,Tropical Storm
2007,HUMBERTO,9/12/07,9/14/07,9/12 - 9/14,80,985,Hurricane
2007,INGRID,9/12/07,9/18/07,9/12 - 9/18,40,1002,Tropical Storm
2007,JERRY,9/23/07,9/24/07,9/23 - 9/24,35,1003,Tropical Storm
2007,LORENZO,9/25/07,9/28/07,9/25 - 9/28,70,990,Hurricane
2007,KAREN,9/25/07,9/29/07,9/25 - 9/29,65,988,Hurricane
2007,MELISSA,9/28/07,10/5/07,9/28 - 10/5,35,1005,Tropical Storm
2007,NOEL,10/24/07,11/6/07,10/24 - 11/6,75,965,Hurricane
2007,OLGA,12/10/07,12/16/07,12/10 - 12/16,50,1003,Tropical Storm
2008,ARTHUR,5/31/08,6/2/08,5/31 - 6/2,40,1004,Tropical Storm
2008,BERTHA,7/3/08,7/21/08,7/3 - 7/21,110,952,Hurricane
2008,CRISTOBAL,7/19/08,7/23/08,7/19 - 7/23,55,998,Tropical Storm
2008,DOLLY,7/20/08,7/27/08,7/20 - 7/27,85,963,Hurricane
2008,EDOUARD,8/3/08,8/6/08,8/3 - 8/6,55,996,Tropical Storm
2008,FAY,8/15/08,8/28/08,8/15 - 8/28,60,986,Tropical Storm
2008,GUSTAV,8/25/08,9/5/08,8/25 - 9/5,135,941,Hurricane
2008,HANNA,8/28/08,9/8/08,8/28 - 9/8,75,977,Hurricane
2008,JOSEPHINE,9/2/08,9/10/08,9/2 - 9/10,55,994,Tropical Storm
2008,IKE,9/1/08,9/15/08,9/1 - 9/15,125,935,Hurricane
2008,KYLE,9/25/08,9/30/08,9/25 - 9/30,75,984,Hurricane
2008,LAURA,9/26/08,10/4/08,9/26 - 10/4,70,990,Tropical Storm
2008,MARCO,10/6/08,10/7/08,10/6 - 10/7,55,998,Tropical Storm
2008,NANA,10/12/08,10/15/08,10/12 - 10/15,35,1004,Tropical Storm
2008,OMAR,10/13/08,10/21/08,10/13 - 10/21,115,958,Hurricane
2008,PALOMA,11/5/08,11/14/08,11/5 - 11/14,125,944,Hurricane
2009,ANA,8/10/09,8/16/09,8/10 - 8/16,35,1003,Tropical Storm
2009,CLAUDETTE,8/16/09,8/17/09,8/16 - 8/17,50,1005,Tropical Storm
2009,BILL,8/15/09,8/26/09,8/15 - 8/26,115,943,Hurricane
2009,DANNY,8/26/09,8/29/09,8/26 - 8/29,50,1006,Tropical Storm
2009,ERIKA,9/1/09,9/4/09,9/1 - 9/4,45,1004,Tropical Storm
2009,FRED,9/7/09,9/19/09,9/7 - 9/19,105,958,Hurricane
2009,GRACE,9/27/09,10/6/09,9/27 - 10/6,55,986,Tropical Storm
2009,HENRI,10/6/09,10/11/09,10/6 - 10/11,45,1005,Tropical Storm
2009,IDA,11/4/09,11/11/09,11/4 - 11/11,90,975,Hurricane
2010,ALEX,6/24/10,7/2/10,6/24 - 7/2,95,946,Hurricane
2010,BONNIE,7/22/10,7/25/10,7/22 - 7/25,40,1005,Tropical Storm
2010,COLIN,8/2/10,8/8/10,8/2 - 8/8,50,1005,Tropical Storm
2010,DANIELLE,8/21/10,9/3/10,8/21 - 9/3,115,942,Hurricane
2010,FIONA,8/30/10,9/4/10,8/30 - 9/4,55,998,Tropical Storm
2010,EARL,8/24/10,9/6/10,8/24 - 9/6,125,927,Hurricane
2010,GASTON,9/1/10,9/8/10,9/1 - 9/8,35,1005,Tropical Storm
2010,HERMINE,9/3/10,9/10/10,9/3 - 9/10,60,989,Tropical Storm
2010,KARL,9/13/10,9/18/10,9/13 - 9/18,110,956,Hurricane
2010,IGOR,9/8/10,9/23/10,9/8 - 9/23,135,924,Hurricane
2010,JULIA,9/12/10,9/24/10,9/12 - 9/24,120,948,Hurricane
2010,MATTHEW,9/23/10,9/26/10,9/23 - 9/26,50,998,Tropical Storm
2010,LISA,9/20/10,9/29/10,9/20 - 9/29,75,982,Hurricane
2010,NICOLE,9/28/10,9/30/10,9/28 - 9/30,40,994,Tropical Storm
2010,PAULA,10/11/10,10/15/10,10/11 - 10/15,90,981,Hurricane
2010,OTTO,10/6/10,10/17/10,10/6 - 10/17,75,976,Hurricane
2010,RICHARD,10/19/10,10/26/10,10/19 - 10/26,85,977,Hurricane
2010,SHARY,10/28/10,10/30/10,10/28 - 10/30,65,989,Hurricane
2010,TOMAS,10/29/10,11/10/10,10/29 - 11/10,85,982,Hurricane
2011,ARLENE,6/28/11,7/1/11,6/28 - 7/1,55,993,Tropical Storm
2011,BRET,7/16/11,7/23/11,7/16 - 7/23,60,995,Tropical Storm
2011,CINDY,7/20/11,7/23/11,7/20 - 7/23,60,994,Tropical Storm
2011,DON,7/27/11,7/30/11,7/27 - 7/30,45,997,Tropical Storm
2011,EMILY,8/2/11,8/7/11,8/2 - 8/7,45,1003,Tropical Storm
2011,FRANKLIN,8/12/11,8/16/11,8/12 - 8/16,40,1004,Tropical Storm
2011,GERT,8/13/11,8/17/11,8/13 - 8/17,55,1000,Tropical Storm
2011,HARVEY,8/19/11,8/22/11,8/19 - 8/22,55,994,Tropical Storm
2011,JOSE,8/26/11,8/29/11,8/26 - 8/29,40,1006,Tropical Storm
2011,IRENE,8/21/11,8/30/11,8/21 - 8/30,105,942,Hurricane
2011,LEE,9/2/11,9/6/11,9/2 - 9/6,50,986,Tropical Storm
2011,KATIA,8/28/11,9/12/11,8/28 - 9/12,120,942,Hurricane
2011,NATE,9/6/11,9/12/11,9/6 - 9/12,65,994,Hurricane
2011,MARIA,9/6/11,9/16/11,9/6 - 9/16,70,983,Hurricane
2011,OPHELIA,9/20/11,10/4/11,9/20 - 10/4,120,940,Hurricane
2011,PHILIPPE,9/23/11,10/9/11,9/23 - 10/9,80,976,Hurricane
2011,RINA,10/22/11,10/29/11,10/22 - 10/29,100,966,Hurricane
2011,SEAN,11/6/11,11/12/11,11/6 - 11/12,55,982,Tropical Storm
2012,ALBERTO,5/19/12,5/23/12,5/19 - 5/23,50,995,Tropical Storm
2012,BERYL,5/25/12,6/2/12,5/25 - 6/2,60,992,Tropical Storm
2012,CHRIS,6/17/12,6/24/12,6/17 - 6/24,75,974,Hurricane
2012,DEBBY,6/23/12,6/27/12,6/23 - 6/27,55,990,Tropical Storm
2012,FLORENCE,8/3/12,8/8/12,8/3 - 8/8,50,1002,Tropical Storm
2012,ERNESTO,8/1/12,8/10/12,8/1 - 8/10,85,973,Hurricane
2012,HELENE,8/9/12,8/19/12,8/9 - 8/19,40,1004,Tropical Storm
2012,GORDON,8/15/12,8/21/12,8/15 - 8/21,95,965,Hurricane
2012,JOYCE,8/21/12,8/24/12,8/21 - 8/24,35,1006,Tropical Storm
2012,ISAAC,8/20/12,9/1/12,8/20 - 9/1,70,965,Hurricane
2012,KIRK,8/28/12,9/3/12,8/28 - 9/3,90,970,Hurricane
2012,MICHAEL,9/2/12,9/12/12,9/2 - 9/12,100,964,Hurricane
2012,LESLIE,8/28/12,9/12/12,8/28 - 9/12,70,968,Hurricane
2012,NADINE,9/10/12,10/4/12,9/10 - 10/4,80,978,Hurricane
2012,OSCAR,10/2/12,10/5/12,10/2 - 10/5,45,994,Tropical Storm
2012,PATTY,10/10/12,10/13/12,10/10 - 10/13,40,1005,Tropical Storm
2012,RAFAEL,10/12/12,10/26/12,10/12 - 10/26,80,966,Hurricane
2012,TONY,10/21/12,10/26/12,10/21 - 10/26,45,1000,Tropical Storm
2012,SANDY,10/21/12,10/31/12,10/21 - 10/31,100,940,Hurricane
2013,BARBARA,5/28/13,5/30/13,5/28 - 5/30,70,983,Hurricane
2013,ANDREA,6/5/13,6/8/13,6/5 - 6/8,55,992,Tropical Storm
2013,BARRY,6/16/13,6/21/13,6/16 - 6/21,40,1003,Tropical Storm
2013,CHANTAL,7/7/13,7/10/13,7/7 - 7/10,55,1003,Tropical Storm
2013,DORIAN,7/22/13,8/4/13,7/22 - 8/4,50,1002,Tropical Storm
2013,ERIN,8/15/13,8/19/13,8/15 - 8/19,40,1006,Tropical Storm
2013,FERNAND,8/25/13,8/26/13,8/25 - 8/26,50,1001,Tropical Storm
2013,GABRIELLE,9/4/13,9/13/13,9/4 - 9/13,55,1003,Tropical Storm
2013,INGRID,9/12/13,9/17/13,9/12 - 9/17,75,983,Hurricane
2013,HUMBERTO,9/8/13,9/19/13,9/8 - 9/19,80,979,Hurricane
2013,KAREN,10/3/13,10/6/13,10/3 - 10/6,55,998,Tropical Storm
2013,JERRY,9/28/13,10/6/13,9/28 - 10/6,45,1005,Tropical Storm
2013,LORENZO,10/21/13,10/26/13,10/21 - 10/26,45,1000,Tropical Storm
2013,MELISSA,11/17/13,11/23/13,11/17 - 11/23,55,980,Tropical Storm
2014,ARTHUR,6/28/14,7/9/14,6/28 - 7/9,85,972,Hurricane
2014,BERTHA,7/29/14,8/9/14,7/29 - 8/9,70,996,Hurricane
2014,CRISTOBAL,8/23/14,9/2/14,8/23 - 9/2,75,963,Hurricane
2014,DOLLY,9/1/14,9/4/14,9/1 - 9/4,45,1000,Tropical Storm
2014,EDOUARD,9/10/14,9/22/14,9/10 - 9/22,105,955,Hurricane
2014,FAY,10/10/14,10/13/14,10/10 - 10/13,70,983,Hurricane
2014,GONZALO,10/11/14,10/20/14,10/11 - 10/20,125,940,Hurricane
2014,HANNA,10/21/14,10/29/14,10/21 - 10/29,35,1000,Tropical Storm
2015,ANA,5/6/15,5/12/15,5/6 - 5/12,50,998,Tropical Storm
2015,BILL,6/16/15,6/21/15,6/16 - 6/21,50,997,Tropical Storm
2015,CLAUDETTE,7/12/15,7/15/15,7/12 - 7/15,45,1003,Tropical Storm
2015,DANNY,8/17/15,8/24/15,8/17 - 8/24,110,960,Hurricane
2015,ERIKA,8/24/15,8/28/15,8/24 - 8/28,45,1001,Tropical Storm
2015,FRED,8/30/15,9/6/15,8/30 - 9/6,75,986,Hurricane
2015,GRACE,9/5/15,9/9/15,9/5 - 9/9,50,1000,Tropical Storm
2015,HENRI,9/8/15,9/11/15,9/8 - 9/11,45,1003,Tropical Storm
2015,IDA,9/15/15,9/28/15,9/15 - 9/28,45,1001,Tropical Storm
2015,JOAQUIN,9/26/15,10/15/15,9/26 - 10/15,135,931,Hurricane
2015,KATE,11/8/15,11/13/15,11/8 - 11/13,75,980,Hurricane
2016,ALEX,1/7/16,1/17/16,1/7 - 1/17,75,978,Hurricane
2016,COLIN,6/5/16,6/8/16,6/5 - 6/8,50,987,Tropical Storm
2016,BONNIE,5/27/16,6/9/16,5/27 - 6/9,40,1006,Tropical Storm
2016,DANIELLE,6/18/16,6/21/16,6/18 - 6/21,40,1007,Tropical Storm
2016,EARL,8/2/16,8/6/16,8/2 - 8/6,75,979,Hurricane
2016,FIONA,8/16/16,8/24/16,8/16 - 8/24,45,1004,Tropical Storm
2016,GASTON,8/21/16,9/3/16,8/21 - 9/3,105,955,Hurricane
2016,HERMINE,8/28/16,9/8/16,8/28 - 9/8,70,981,Hurricane
2016,IAN,9/12/16,9/17/16,9/12 - 9/17,55,984,Tropical Storm
2016,JULIA,9/13/16,9/21/16,9/13 - 9/21,45,1007,Tropical Storm
2016,KARL,9/12/16,9/26/16,9/12 - 9/26,60,980,Tropical Storm
2016,LISA,9/19/16,9/26/16,9/19 - 9/26,45,999,Tropical Storm
2016,MATTHEW,9/28/16,10/10/16,9/28 - 10/10,145,934,Hurricane
2016,NICOLE,10/4/16,10/19/16,10/4 - 10/19,120,950,Hurricane
2016,OTTO,11/17/16,11/26/16,11/17 - 11/26,100,975,Hurricane
2017,ARLENE,4/16/17,4/22/17,4/16 - 4/22,55,986,Tropical Storm
2017,BRET,6/18/17,6/20/17,6/18 - 6/20,45,1007,Tropical Storm
2017,CINDY,6/19/17,6/24/17,6/19 - 6/24,50,991,Tropical Storm
2017,DON,7/17/17,7/18/17,7/17 - 7/18,45,1005,Tropical Storm
2017,EMILY,7/30/17,8/2/17,7/30 - 8/2,50,1001,Tropical Storm
2017,FRANKLIN,8/6/17,8/10/17,8/6 - 8/10,75,981,Hurricane
2017,GERT,8/12/17,8/18/17,8/12 - 8/18,95,962,Hurricane
2017,HARVEY,8/16/17,9/2/17,8/16 - 9/2,115,937,Hurricane
2017,KATIA,9/5/17,9/9/17,9/5 - 9/9,90,972,Hurricane
2017,IRMA,8/30/17,9/13/17,8/30 - 9/13,155,914,Hurricane
2017,JOSE,9/4/17,9/25/17,9/4 - 9/25,135,938,Hurricane
2017,LEE,9/14/17,9/30/17,9/14 - 9/30,100,962,Hurricane
2017,MARIA,9/16/17,10/2/17,9/16 - 10/2,150,908,Hurricane
2017,NATE,10/3/17,10/11/17,10/3 - 10/11,80,981,Hurricane
2017,OPHELIA,10/6/17,10/17/17,10/6 - 10/17,100,957,Hurricane
2017,PHILIPPE,10/27/17,10/29/17,10/27 - 10/29,35,1000,Tropical Storm
2017,RINA,11/4/17,11/9/17,11/4 - 11/9,50,991,Tropical Storm
2018,ALBERTO,5/25/18,5/31/18,5/25 - 5/31,55,990,Tropical Storm
2018,CHRIS,7/5/18,7/17/18,7/5 - 7/17,90,969,Hurricane
2018,BERYL,7/4/18,7/17/18,7/4 - 7/17,70,991,Hurricane
2018,DEBBY,8/2/18,8/10/18,8/2 - 8/10,45,998,Tropical Storm
2018,ERNESTO,8/15/18,8/19/18,8/15 - 8/19,40,999,Tropical Storm
2018,GORDON,9/2/18,9/7/18,9/2 - 9/7,60,996,Tropical Storm
2018,ISAAC,9/7/18,9/15/18,9/7 - 9/15,65,995,Hurricane
2018,HELENE,9/7/18,9/17/18,9/7 - 9/17,95,967,Hurricane
2018,FLORENCE,8/30/18,9/18/18,8/30 - 9/18,130,937,Hurricane
2018,JOYCE,9/12/18,9/21/18,9/12 - 9/21,45,995,Tropical Storm
2018,KIRK,9/22/18,9/28/18,9/22 - 9/28,55,998,Tropical Storm
2018,NADINE,10/8/18,10/12/18,10/8 - 10/12,55,995,Tropical Storm
2018,LESLIE,9/22/18,10/14/18,9/22 - 10/14,80,968,Hurricane
2018,MICHAEL,10/6/18,10/15/18,10/6 - 10/15,140,919,Hurricane
2018,OSCAR,10/26/18,11/4/18,10/26 - 11/4,95,952,Hurricane
2019,ANDREA,5/20/19,5/22/19,5/20 - 5/22,35,1006,Tropical Low
2019,BARRY,7/10/19,7/16/19,7/10 - 7/16,65,993,Hurricane
2019,CHANTAL,8/20/19,8/26/19,8/20 - 8/26,35,1007,Tropical Storm
2019,ERIN,8/26/19,8/29/19,8/26 - 8/29,35,1002,Tropical Storm
2019,FERNAND,9/3/19,9/5/19,9/3 - 9/5,45,1000,Tropical Storm
2019,DORIAN,8/24/19,9/9/19,8/24 - 9/9,160,910,Hurricane
2019,GABRIELLE,9/3/19,9/11/19,9/3 - 9/11,55,995,Tropical Storm
2019,IMELDA,9/17/19,9/19/19,9/17 - 9/19,40,1003,Tropical Storm
2019,HUMBERTO,9/12/19,9/20/19,9/12 - 9/20,110,950,Hurricane
2019,KAREN,9/22/19,9/27/19,9/22 - 9/27,40,1003,Tropical Storm
2019,JERRY,9/17/19,9/28/19,9/17 - 9/28,90,976,Hurricane
2019,LORENZO,9/22/19,10/4/19,9/22 - 10/4,140,925,Hurricane
2019,MELISSA,10/8/19,10/14/19,10/8 - 10/14,55,994,Tropical Storm
2019,NESTOR,10/17/19,10/21/19,10/17 - 10/21,50,996,Tropical Storm
2019,OLGA,10/25/19,10/27/19,10/25 - 10/27,45,992,Tropical Storm
2019,PABLO,10/23/19,10/29/19,10/23 - 10/29,70,977,Hurricane
2019,REBEKAH,10/27/19,11/1/19,10/27 - 11/1,70,965,Extratropical
2019,SEBASTIEN,11/19/19,11/27/19,11/19 - 11/27,60,970,Tropical Storm
2020,ARTHUR,5/16/20,5/21/20,5/16 - 5/21,55,989,Tropical Storm
2020,BERTHA,5/27/20,5/28/20,5/27 - 5/28,45,1005,Tropical Storm
2020,AMANDA,5/30/20,5/31/20,5/30 - 5/31,35,1003,Tropical Storm
2020,CRISTOBAL,6/1/20,6/12/20,6/1 - 6/12,50,982,Tropical Storm
2020,DOLLY,6/22/20,6/25/20,6/22 - 6/25,40,1000,Tropical Storm
2020,EDOUARD,7/4/20,7/9/20,7/4 - 7/9,40,1005,Tropical Storm
2020,FAY,7/5/20,7/11/20,7/5 - 7/11,50,998,Tropical Storm
2020,GONZALO,7/20/20,7/25/20,7/20 - 7/25,55,997,Tropical Storm
2020,HANNA,7/23/20,7/26/20,7/23 - 7/26,80,973,Hurricane
2020,ISAIAS,7/28/20,8/5/20,7/28 - 8/5,80,986,Hurricane
2020,KYLE,8/14/20,8/16/20,8/14 - 8/16,45,1000,Tropical Storm
2020,JOSEPHINE,8/10/20,8/16/20,8/10 - 8/16,40,1004,Tropical Storm
2020,MARCO,8/20/20,8/25/20,8/20 - 8/25,65,991,Hurricane
2020,LAURA,8/20/20,8/29/20,8/20 - 8/29,130,937,Hurricane
2020,NANA,9/1/20,9/4/20,9/1 - 9/4,65,994,Hurricane
2020,OMAR,8/30/20,9/6/20,8/30 - 9/6,35,1003,Tropical Storm
2020,RENE,9/6/20,9/14/20,9/6 - 9/14,40,1001,Tropical Storm
2020,SALLY,9/11/20,9/18/20,9/11 - 9/18,95,965,Hurricane
2020,ALPHA,9/14/20,9/19/20,9/14 - 9/19,60,992,Extratropical
2020,VICKY,9/14/20,9/19/20,9/14 - 9/19,45,1001,Tropical Storm
2020,WILFRED,9/17/20,9/21/20,9/17 - 9/21,35,1006,Tropical Storm
2020,TEDDY,9/12/20,9/24/20,9/12 - 9/24,120,945,Hurricane
2020,BETA,9/17/20,9/25/20,9/17 - 9/25,55,993,Tropical Storm
2020,PAULETTE,9/7/20,9/28/20,9/7 - 9/28,90,965,Hurricane
2020,GAMMA,10/2/20,10/6/20,10/2 - 10/6,65,978,Hurricane
2020,DELTA,10/4/20,10/11/20,10/4 - 10/11,120,953,Hurricane
2020,EPSILON,10/16/20,10/26/20,10/16 - 10/26,100,952,Hurricane
2020,ZETA,10/24/20,10/30/20,10/24 - 10/30,100,970,Hurricane
2020,ETA,10/31/20,11/14/20,10/31 - 11/14,130,922,Hurricane
2020,THETA,11/8/20,11/16/20,11/8 - 11/16,60,987,Tropical Storm
2020,IOTA,11/12/20,11/18/20,11/12 - 11/18,135,917,Hurricane
2021,ANA,5/20/21,5/24/21,5/20 - 5/24,50,1004,Tropical Storm
2021,BILL,6/13/21,6/16/21,6/13 - 6/16,55,992,Tropical Storm
2021,CLAUDETTE,6/17/21,6/23/21,6/17 - 6/23,40,1003,Tropical Storm
2021,DANNY,6/27/21,6/29/21,6/27 - 6/29,40,1009,Tropical Storm
2021,ELSA,6/30/21,7/10/21,6/30 - 7/10,75,991,Hurricane
2021,FRED,8/9/21,8/20/21,8/9 - 8/20,55,991,Tropical Storm
2021,GRACE,8/13/21,8/21/21,8/13 - 8/21,105,967,Hurricane
2021,HENRI,8/15/21,8/24/21,8/15 - 8/24,65,986,Hurricane
2021,JULIAN,8/28/21,8/31/21,8/28 - 8/31,50,993,Tropical Storm
2021,KATE,8/27/21,9/1/21,8/27 - 9/1,40,1004,Tropical Storm
2021,IDA,8/26/21,9/4/21,8/26 - 9/4,130,929,Hurricane
2021,MINDY,9/8/21,9/10/21,9/8 - 9/10,50,1000,Tropical Storm
2021,LARRY,8/31/21,9/11/21,8/31 - 9/11,110,953,Hurricane
2021,NICHOLAS,9/12/21,9/17/21,9/12 - 9/17,65,988,Hurricane
2021,PETER,9/19/21,9/22/21,9/19 - 9/22,45,1005,Tropical Storm
2021,ROSE,9/19/21,9/24/21,9/19 - 9/24,50,1004,Tropical Storm
2021,ODETTE,9/16/21,9/26/21,9/16 - 9/26,55,989,Tropical Storm
2021,TERESA,9/26/21,9/26/21,9/24 - 9/26,40,1008,Tropical Low
2021,VICTOR,10/4/21,10/4/21,9/29 - 10/4,55,997,Tropical Storm
2021,SAM,10/7/21,10/7/21,9/22 - 10/7,135,927,Hurricane
2021,WANDA,11/8/21,11/8/21,10/25 - 11/8,60,973,Tropical Storm
2022,Alex,6/2/22,6/6/22,6/2 - 6/6,60,984,Tropical Storm
2022,Bonnie,6/27/22,7/9/22,6/27 - 7/9,100,964,Hurricane
2022,Colin,7/2/22,7/3/22,7/2 - 7/3,35,1012,Tropical Storm
2022,Danielle,9/1/22,9/8/22,9/1 - 9/8,80,1013,Hurricane
2022,Earl,9/2/22,9/10/22,9/2 - 9/10,90,1005,Hurricane
2022,Eleven,9/28/22,9/29/22,9/28 - 9/29,30,1010,Tropical Depression
2022,Fiona,9/14/22,9/24/22,9/14 - 9/24,115,1009,Hurricane
2022,Four,8/19/22,8/20/22,8/19 - 8/20,30,1010,Potential Tropical Cyclone
2022,Gaston,9/20/22,9/26/22,9/20 - 9/26,55,1013,Tropical Storm
2022,Hermine,9/23/22,9/25/22,9/23 - 9/25,35,1008,Tropical Storm
2022,Ian,9/23/22,10/1/22,9/23 - 10/1,135,1010,Hurricane
2022,Julia,10/6/22,10/9/22,10/6 - 10/9,75,1006,Hurricane
2022,Karl,10/11/22,10/15/22,10/11 - 10/15,50,1008,Tropical Storm
2022,Lisa,10/30/22,11/3/22,10/30 - 11/5,75,1009,Hurricane
2022,Martin,11/1/22,11/3/22,11/1 - 11/3,75,997,Hurricane
2022,Nicole,11/7/22,11/11/22,11/7 - 11/11,65,1004,Hurricane
2022,Twelve,10/4/22,10/6/22,10/4 - 10/6,30,1010,Tropical Depression